date,symbol,marketcapname,sector
06-01-2025 12:15 pm,BERGEPAINT,Largecap,Industrials
06-01-2025 12:15 pm,POLYCAB,Largecap,Industrials
06-01-2025 12:15 pm,PAYTM,Largecap,I.T
06-01-2025 12:15 pm,SYNGENE,Largecap,Pharmaceuticals
06-01-2025 12:16 pm,AMBUJACEM,Largecap,Industrials
06-01-2025 12:18 pm,ONGC,Largecap,Oils
06-01-2025 12:20 pm,APOLLOHOSP,Largecap,Pharmaceuticals
06-01-2025 12:21 pm,DRREDDY,Largecap,Pharmaceuticals
06-01-2025 12:21 pm,SHRIRAMFIN,Largecap,Finance
06-01-2025 12:21 pm,METROPOLIS,Midcap,Pharmaceuticals
06-01-2025 12:21 pm,PAYTM,Largecap,I.T
06-01-2025 12:22 pm,GRASIM,Largecap,Textiles
06-01-2025 12:22 pm,EICHERMOT,Largecap,Auto
06-01-2025 12:22 pm,SYNGENE,Largecap,Pharmaceuticals
06-01-2025 12:22 pm,ALKEM,Largecap,Pharmaceuticals
06-01-2025 12:22 pm,LALPATHLAB,Largecap,Pharmaceuticals
06-01-2025 12:23 pm,BEL,Largecap,Aerospace & Defence
06-01-2025 12:23 pm,CIPLA,Largecap,Pharmaceuticals
06-01-2025 12:23 pm,DRREDDY,Largecap,Pharmaceuticals
06-01-2025 12:23 pm,JSWSTEEL,Largecap,Metals
06-01-2025 12:23 pm,LUPIN,Largecap,Pharmaceuticals
06-01-2025 12:23 pm,TORNTPHARM,Largecap,Pharmaceuticals
06-01-2025 12:23 pm,ESCORTS,Largecap,Auto
